team,scrapedRows,acceptedRows,url
Abilene Christian Wildcats,33,33,https://www.teamrankings.com/ncaa-basketball/team/abilene-christian-wildcats
Air Force Falcons,32,32,https://www.teamrankings.com/ncaa-basketball/team/air-force-falcons
Akron Zips,34,34,https://www.teamrankings.com/ncaa-basketball/team/akron-zips
Alabama Crimson Tide,32,32,https://www.teamrankings.com/ncaa-basketball/team/alabama-crimson-tide
Alabama A&M Bulldogs,33,33,https://www.teamrankings.com/ncaa-basketball/team/alabama-am-bulldogs
Alabama State Hornets,32,32,https://www.teamrankings.com/ncaa-basketball/team/alabama-st-hornets
Albany Great Danes,32,32,https://www.teamrankings.com/ncaa-basketball/team/albany-great-danes
Alcorn State Braves,32,32,https://www.teamrankings.com/ncaa-basketball/team/alcorn-st-braves
American Eagles,32,32,https://www.teamrankings.com/ncaa-basketball/team/american-eagles
App State Mountaineers,32,32,https://www.teamrankings.com/ncaa-basketball/team/appalachian-st-mountaineers
Arizona Wildcats,34,34,https://www.teamrankings.com/ncaa-basketball/team/arizona-wildcats
Arizona State Sun Devils,33,33,https://www.teamrankings.com/ncaa-basketball/team/arizona-state-sun-devils
Arkansas Razorbacks,34,34,https://www.teamrankings.com/ncaa-basketball/team/arkansas-razorbacks
Arkansas State Red Wolves,32,32,https://www.teamrankings.com/ncaa-basketball/team/arkansas-st-red-wolves
Arkansas-Pine Bluff Golden Lions,32,32,https://www.teamrankings.com/ncaa-basketball/team/arkansas-pine-bluff-golden-lions
Army Black Knights,32,32,https://www.teamrankings.com/ncaa-basketball/team/army-black-knights
Auburn Tigers,33,33,https://www.teamrankings.com/ncaa-basketball/team/auburn-tigers
Austin Peay Governors,31,31,https://www.teamrankings.com/ncaa-basketball/team/austin-peay-governors
Ball State Cardinals,31,31,https://www.teamrankings.com/ncaa-basketball/team/ball-st-cardinals
Baylor Bears,32,32,https://www.teamrankings.com/ncaa-basketball/team/baylor-bears
Bellarmine Knights,32,32,https://www.teamrankings.com/ncaa-basketball/team/bellarmine-knights
Belmont Bruins,32,32,https://www.teamrankings.com/ncaa-basketball/team/belmont-bruins
Bethune-Cookman Wildcats,32,32,https://www.teamrankings.com/ncaa-basketball/team/bethune-cookman-wildcats
Binghamton Bearcats,31,31,https://www.teamrankings.com/ncaa-basketball/team/binghamton-bearcats
Boise State Broncos,32,32,https://www.teamrankings.com/ncaa-basketball/team/boise-st-broncos
